id,campaign_type,channel,topic,started_at,finished_at,total_count,ab_test,warmup_mode,hour_limit,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout,is_test,position
366,bulk,email,sale out,2021-06-10 08:28:34.471796+00:00,2021-06-10 10:19:05+00:00,160689,,False,,85.0,False,False,True,False,False,False,,
368,bulk,mobile_push,sale out,2021-06-11 10:00:11.717483+00:00,2021-06-11 10:00:22+00:00,16027,,False,,117.0,False,False,True,False,False,False,,
372,bulk,mobile_push,sale out,2021-06-10 13:00:10.520899+00:00,2021-06-10 13:00:21+00:00,24425,,False,,119.0,False,False,True,False,True,False,,
373,bulk,mobile_push,sale out,2021-06-11 14:00:11.427774+00:00,2021-06-14 06:00:54+00:00,2532,,False,,111.0,False,False,True,False,False,False,,
374,bulk,email,sale out,2021-06-09 14:15:49.003420+00:00,2021-06-09 14:15:59+00:00,3,,False,,85.0,False,False,True,False,False,False,,
375,bulk,email,sale out,2021-06-09 14:21:16.588926+00:00,2021-06-09 14:21:25+00:00,4,,False,,85.0,False,False,True,False,False,False,,
376,bulk,email,sale out,2021-06-10 07:12:39.315340+00:00,2021-06-10 07:17:29+00:00,1,,False,,85.0,False,False,True,False,False,False,,
381,bulk,email,sale out,2021-06-10 08:10:36.944182+00:00,2021-06-10 08:10:48+00:00,3,,False,,85.0,False,False,True,False,False,False,,
400,bulk,email,,2021-06-15 13:53:30.414556+00:00,2021-06-15 13:53:39+00:00,4,,False,,18.0,False,False,False,False,False,False,,
409,bulk,mobile_push,sale out,2021-06-16 14:00:11.742552+00:00,2021-06-16 14:00:19+00:00,7243,,False,,105.0,False,False,True,False,False,False,,
412,bulk,email,sale out,2021-06-17 08:30:09.330131+00:00,2021-06-17 09:06:12+00:00,208042,,False,,91.0,True,False,True,False,True,False,,
413,bulk,mobile_push,sale out,2021-06-17 14:00:11.839773+00:00,2021-06-17 14:00:47+00:00,39569,,False,,131.0,False,False,True,False,False,False,,
431,bulk,email,event,2021-06-22 09:00:10.196508+00:00,2021-06-22 09:01:13+00:00,6559,,False,,102.0,False,False,True,False,False,False,,
446,bulk,email,sale out,2021-06-23 07:14:33.743690+00:00,2021-06-23 07:21:34+00:00,41456,,False,,108.0,False,False,True,False,False,False,,
451,bulk,email,sale out,2021-06-22 08:21:11.419950+00:00,2021-06-22 08:21:19+00:00,4,,False,,108.0,False,False,True,False,False,False,,
453,bulk,mobile_push,event,2021-06-23 10:30:09.638073+00:00,2021-06-23 10:30:16+00:00,1848,,False,,96.0,False,False,True,False,False,False,,
455,bulk,mobile_push,sale out,2021-06-23 13:00:10.602299+00:00,2021-06-23 13:00:22+00:00,16291,,False,,111.0,False,False,True,False,False,False,,
461,bulk,email,sale out,2021-06-24 09:00:10.801006+00:00,2021-06-24 09:31:13+00:00,217109,,False,,136.0,False,False,True,False,False,False,,
478,bulk,mobile_push,sale out,2021-06-24 11:00:12.578013+00:00,2021-06-24 11:00:32+00:00,43968,,False,,37.0,False,False,True,False,False,False,,
494,bulk,email,sale out,2021-06-28 12:49:32.853318+00:00,2021-06-28 13:34:51+00:00,50363,,False,,94.0,False,False,True,False,False,False,,
500,bulk,email,sale out,2021-07-01 08:30:09.827766+00:00,2021-07-01 09:50:03+00:00,607634,,False,,102.0,False,False,True,False,False,True,,
509,bulk,mobile_push,sale out,2021-06-28 14:00:11.660462+00:00,2021-06-28 14:00:45+00:00,62734,,False,,94.0,False,False,True,False,False,False,,
510,bulk,email,sale out,2021-06-29 09:00:11.257858+00:00,2021-06-29 09:36:17+00:00,252294,,False,,115.0,False,False,True,False,False,False,,
514,bulk,email,sale out,2021-06-30 09:39:56.982528+00:00,2021-06-30 09:56:15+00:00,114167,,False,,130.0,False,False,True,False,False,False,,
515,bulk,mobile_push,sale out,2021-06-29 14:00:13.752337+00:00,2021-06-29 17:02:36+00:00,613004,,True,200000.0,126.0,False,False,True,False,False,False,,
522,bulk,mobile_push,sale out,2021-06-30 13:00:11.568026+00:00,2021-06-30 13:00:20+00:00,6607,,False,,106.0,False,False,True,False,False,True,,
536,bulk,email,sale out,2021-07-02 09:49:14.010528+00:00,2021-07-02 10:03:58+00:00,123279,,False,,120.0,False,False,True,False,True,False,,
539,bulk,mobile_push,sale out,2021-07-01 14:03:40.647359+00:00,,253565,,False,,23.0,False,False,True,False,False,False,,
540,bulk,mobile_push,sale out,2021-07-01 15:00:11.652469+00:00,2021-07-01 15:02:19+00:00,305573,,False,,23.0,False,False,True,False,False,False,,
547,bulk,email,sale out,2021-07-05 08:15:08.420987+00:00,2021-07-05 08:31:00+00:00,135002,,False,,98.0,False,False,True,False,False,False,,
548,bulk,email,event,2021-07-06 08:15:09.115602+00:00,2021-07-06 08:15:53+00:00,6530,,False,,107.0,False,False,True,False,False,False,,
560,bulk,mobile_push,sale out,2021-07-05 12:00:11.705184+00:00,2021-07-05 12:02:44+00:00,412288,,False,,110.0,False,False,True,False,False,False,,
563,bulk,email,sale out,2021-07-07 08:00:12.954035+00:00,2021-07-07 08:11:13+00:00,92798,,False,,100.0,False,False,True,False,False,False,,
567,bulk,mobile_push,event,2021-07-07 10:30:09.251725+00:00,2021-07-07 10:30:15+00:00,1772,,False,,96.0,False,False,True,False,False,False,,
577,bulk,email,sale out,2021-07-22 08:04:07.731336+00:00,2021-07-22 08:41:45+00:00,320174,True,False,,96.0,False,False,True,False,False,False,,
585,bulk,email,sale out,2021-07-09 12:30:09.672269+00:00,2021-07-09 12:37:00+00:00,58309,,False,,128.0,False,False,True,False,False,False,,
591,bulk,email,sale out,2021-07-08 09:27:58.374495+00:00,2021-07-08 09:28:07+00:00,1,,False,,84.0,False,False,True,False,False,False,,
594,bulk,email,sale out,2021-07-12 08:00:13.089085+00:00,2021-07-12 08:11:09+00:00,93601,,False,,104.0,False,False,True,False,False,False,,
600,bulk,mobile_push,sale out,2021-07-09 15:00:11.905547+00:00,2021-07-09 15:03:04+00:00,480945,,False,,108.0,False,False,True,False,False,False,,
601,bulk,email,sale out,2021-07-09 12:20:10.982522+00:00,2021-07-09 12:20:24+00:00,1,,False,,128.0,False,False,True,False,False,False,,
602,bulk,email,sale out,2021-07-13 08:00:13.881017+00:00,2021-07-13 08:11:05+00:00,92833,,False,,98.0,False,False,True,False,False,False,,
618,bulk,email,sale out,2021-07-14 08:23:00.573426+00:00,2021-07-14 08:36:51+00:00,118565,,False,,131.0,False,False,True,False,False,False,,
620,bulk,mobile_push,sale out,2021-07-12 13:59:35.860701+00:00,2021-07-12 14:01:12+00:00,301806,,False,,23.0,False,False,True,False,False,False,,
622,bulk,email,sale out,2021-07-15 08:02:13.249740+00:00,2021-07-15 08:23:58+00:00,185976,,False,,104.0,False,False,True,False,False,False,,
634,bulk,email,sale out,2021-07-16 07:00:12.615852+00:00,2021-07-16 07:11:34+00:00,96939,,False,,129.0,False,True,True,False,False,False,,
638,bulk,mobile_push,sale out,2021-07-13 15:00:12.334601+00:00,2021-07-13 15:04:52+00:00,291721,,False,,24.0,False,False,True,False,False,False,,
655,bulk,email,sale out,2021-07-14 09:35:15.860381+00:00,2021-07-14 09:35:24+00:00,1,,False,,124.0,False,True,True,False,False,False,,
657,bulk,email,sale out,2021-07-19 08:00:12.592164+00:00,2021-07-19 08:10:55+00:00,91587,,False,,110.0,False,False,True,False,False,False,,
660,bulk,mobile_push,sale out,2021-07-14 14:00:11.586024+00:00,2021-07-14 14:07:52+00:00,478913,,False,,26.0,False,False,True,False,False,False,,
673,bulk,email,event,2021-07-20 09:00:12.402160+00:00,2021-07-20 09:00:59+00:00,6506,,False,,128.0,False,True,True,False,False,False,,
675,bulk,email,event,2021-07-21 09:00:11.956320+00:00,2021-07-21 09:00:56+00:00,6496,,False,,160.0,False,False,True,False,False,False,,
676,bulk,email,,,,,True,False,,91.0,False,False,True,False,False,False,,
679,bulk,mobile_push,sale out,2021-07-16 17:00:11.250856+00:00,2021-07-16 17:05:26+00:00,487024,,False,,28.0,False,False,True,False,False,False,,
693,bulk,email,sale out,2021-07-21 06:15:08.824500+00:00,2021-07-21 06:29:32+00:00,122752,,False,,126.0,False,False,True,False,False,True,,
702,bulk,mobile_push,sale out,2021-07-19 16:00:11.685444+00:00,2021-07-19 16:11:52+00:00,568816,,False,,28.0,False,False,True,False,False,False,,
706,bulk,mobile_push,sale out,2021-07-21 16:00:11.710123+00:00,2021-07-21 16:04:05+00:00,496535,,False,,25.0,False,False,True,False,False,True,,
708,bulk,mobile_push,event,2021-07-21 10:45:08.716535+00:00,2021-07-21 10:45:14+00:00,1758,,False,,128.0,False,False,True,False,False,False,,
721,bulk,email,sale out,2021-07-23 06:56:49.203944+00:00,2021-07-23 07:11:14+00:00,122868,True,False,,124.0,False,False,True,False,False,False,,
722,bulk,email,,,,,True,False,,107.0,False,False,True,False,False,False,,
730,bulk,mobile_push,sale out,2021-07-23 15:00:11.574012+00:00,2021-07-23 15:03:58+00:00,279416,,False,,31.0,False,False,True,False,True,False,,
732,bulk,email,sale out,2021-07-26 08:00:13.144596+00:00,2021-07-26 08:15:42+00:00,131583,,False,,92.0,False,False,True,False,False,False,,
734,bulk,email,sale out,2021-07-23 13:51:36.332646+00:00,2021-07-23 13:51:41+00:00,5,,False,,92.0,False,False,True,False,False,False,,
735,bulk,email,sale out,2021-07-23 14:27:02.792658+00:00,2021-07-23 14:27:08+00:00,5,,False,,92.0,False,False,True,False,False,False,,
742,bulk,email,sale out,2021-07-27 09:00:12.504114+00:00,2021-07-27 09:12:22+00:00,115019,,False,,100.0,False,False,True,False,False,False,,
743,bulk,mobile_push,sale out,2021-07-26 14:00:12.717302+00:00,2021-07-26 14:04:32+00:00,583313,,False,,18.0,False,False,True,False,False,False,,
752,bulk,mobile_push,sale out,2021-07-27 15:00:13.812040+00:00,2021-07-27 15:01:45+00:00,300297,,False,,33.0,False,False,True,False,False,False,,
754,bulk,email,sale out,2021-07-28 07:00:14.409889+00:00,,131529,,False,,116.0,False,False,True,False,False,False,,
763,bulk,email,sale out,2021-07-28 09:00:08.720620+00:00,2021-07-28 09:02:03+00:00,16327,,False,,116.0,False,False,True,False,False,False,,
764,bulk,email,sale out,2021-08-05 06:00:13.495823+00:00,2021-08-05 07:14:10+00:00,303852,,False,,116.0,False,False,True,False,False,False,,
766,bulk,email,sale out,2021-07-30 09:00:13.634198+00:00,2021-07-30 09:46:01+00:00,127090,,False,,128.0,False,False,True,False,False,False,,
783,bulk,email,sale out,2021-08-02 09:15:09.258762+00:00,2021-08-02 11:57:48+00:00,1194549,,False,,118.0,False,False,True,False,False,False,,
801,bulk,email,event,2021-08-03 09:00:13.304611+00:00,2021-08-03 09:01:04+00:00,6472,,False,,128.0,False,True,True,False,False,False,,
803,bulk,email,event,2021-08-04 09:00:12.076501+00:00,2021-08-04 09:00:56+00:00,6462,,False,,154.0,False,False,True,False,False,False,,
813,bulk,mobile_push,event,2021-08-04 10:45:09.402374+00:00,2021-08-04 10:45:15+00:00,1824,,False,,128.0,False,False,True,False,False,False,,
817,bulk,email,sale out,2021-08-06 08:12:04.465130+00:00,2021-08-06 08:39:43+00:00,261119,,False,,116.0,False,False,True,False,False,False,,
822,bulk,mobile_push,sale out,2021-08-05 08:00:13.741018+00:00,2021-08-05 08:00:36+00:00,80552,,False,,29.0,False,False,True,False,False,False,,
833,bulk,email,sale out,2021-08-09 09:00:11.544956+00:00,2021-08-09 09:19:22+00:00,169985,,False,,106.0,True,False,True,False,True,False,,
849,bulk,email,sale out,2021-08-10 09:43:14.193508+00:00,2021-08-10 10:46:27+00:00,1139543,,False,,120.0,False,False,True,False,False,False,,
856,bulk,email,sale out,2021-08-11 09:00:12.092357+00:00,2021-08-11 09:11:20+00:00,162718,,False,,101.0,False,False,True,False,False,False,,
862,bulk,email,event,2021-08-17 09:33:42.583053+00:00,2021-08-17 09:34:09+00:00,6430,,False,,128.0,False,True,True,False,False,False,,
863,bulk,email,event,2021-08-18 09:00:11.998759+00:00,2021-08-18 09:00:40+00:00,6421,,False,,154.0,False,False,True,False,False,False,,
868,bulk,email,sale out,2021-08-12 07:00:12.613231+00:00,2021-08-12 07:17:49+00:00,333473,,False,,118.0,False,False,True,False,False,False,,
874,bulk,email,sale out,2021-08-13 09:00:12.239651+00:00,2021-08-13 09:02:24+00:00,32445,,False,,108.0,False,False,True,False,True,False,,
907,bulk,email,sale out,2021-08-18 07:04:59.854620+00:00,2021-08-18 07:19:24+00:00,221126,,False,,126.0,False,False,True,False,False,False,,
908,bulk,email,sale out,2021-08-17 07:14:47.929938+00:00,2021-08-17 07:36:49+00:00,339354,,False,,102.0,False,False,True,False,False,False,,
926,bulk,mobile_push,event,2021-08-18 10:45:08.827127+00:00,2021-08-18 10:45:15+00:00,1859,,False,,128.0,False,False,True,False,False,False,,
928,bulk,mobile_push,sale out,2021-08-17 11:00:13.199444+00:00,2021-08-17 11:00:31+00:00,18831,,False,,28.0,False,False,True,False,True,False,,
938,bulk,email,sale out,2021-08-19 11:00:13.655094+00:00,2021-08-19 11:17:12+00:00,307379,,False,,106.0,False,False,True,False,False,False,,
952,bulk,email,sale out,2021-08-19 07:00:39.684750+00:00,2021-08-19 07:13:22+00:00,190390,,False,,126.0,False,False,True,False,True,False,,
965,bulk,email,sale out,2021-08-20 11:48:21.883210+00:00,2021-08-20 12:01:18+00:00,184868,,False,,142.0,False,True,True,False,False,False,,
992,bulk,email,sale out,2021-08-24 10:12:31.983679+00:00,2021-08-24 11:26:53+00:00,1151532,,False,,106.0,False,True,True,False,False,False,,
998,bulk,email,sale out,2021-08-25 09:30:22.016106+00:00,2021-08-25 09:46:20+00:00,225308,,False,,144.0,False,False,True,False,False,False,,
1000,bulk,email,sale out,2021-08-24 09:51:01.507780+00:00,2021-08-24 09:51:14+00:00,1,,False,,144.0,False,False,True,False,False,False,,
1001,bulk,email,sale out,2021-08-26 13:29:27.456430+00:00,2021-08-26 13:32:33+00:00,46948,,False,,97.0,False,False,True,False,False,False,,
1010,bulk,email,sale out,2021-08-25 09:21:47.175637+00:00,2021-08-25 09:21:55+00:00,2,,False,,97.0,False,False,True,False,False,False,,
1011,bulk,email,sale out,2021-08-26 09:42:06.860457+00:00,2021-08-26 09:58:13+00:00,291141,,False,,114.0,False,False,True,False,False,False,,
1020,bulk,email,sale out,2021-08-27 09:00:13.820927+00:00,2021-08-27 09:13:57+00:00,246708,,False,,90.0,False,False,True,False,False,False,,
1026,bulk,email,sale out,2021-08-26 11:42:42.984180+00:00,2021-08-26 11:42:53+00:00,2,,False,,90.0,False,False,True,False,False,False,,
1030,bulk,mobile_push,event,2021-08-27 10:45:09.288283+00:00,2021-08-27 10:45:16+00:00,1860,,False,,128.0,False,False,True,False,False,False,,
1048,bulk,email,sale out,2021-08-31 08:03:44.544034+00:00,2021-08-31 08:18:07+00:00,299700,,False,,128.0,False,False,True,False,False,False,,
1072,bulk,email,sale out,2021-09-01 08:30:10.330781+00:00,2021-09-01 08:47:56+00:00,291429,,False,,98.0,False,False,True,False,False,False,,
1080,bulk,email,sale out,2021-09-02 10:00:13.083302+00:00,2021-09-02 10:03:22+00:00,46958,,False,,143.0,False,False,True,False,False,False,,
1099,bulk,email,sale out,2021-09-03 10:35:43.776111+00:00,2021-09-03 10:55:45+00:00,307452,,False,,126.0,True,False,True,False,True,False,,
1102,bulk,email,sale out,2021-09-02 11:36:02.797028+00:00,2021-09-02 11:36:13+00:00,1,,False,,126.0,True,False,True,False,True,False,,
1107,bulk,email,sale out,2021-09-07 08:00:15.140141+00:00,2021-09-07 08:11:19+00:00,210109,,False,,112.0,False,False,True,False,False,False,,
1139,bulk,mobile_push,event,2021-09-17 10:45:09.429395+00:00,2021-09-17 10:45:15+00:00,1886,,False,,128.0,False,False,True,False,False,False,,
1140,bulk,email,sale out,2021-09-10 07:27:38.065373+00:00,2021-09-10 07:47:00+00:00,301947,,False,,82.0,False,False,True,False,False,False,,
1148,bulk,email,sale out,2021-09-09 09:22:12.044275+00:00,2021-09-09 09:25:55+00:00,56029,,False,,114.0,False,False,True,False,False,False,,
1151,bulk,email,sale out,2021-09-08 08:21:39.995684+00:00,2021-09-08 08:21:48+00:00,1,,False,,114.0,False,False,True,False,False,False,,
1167,bulk,mobile_push,event,2021-09-23 10:45:09.135818+00:00,2021-09-23 10:45:15+00:00,1846,,False,,128.0,False,False,True,False,False,False,,
1170,bulk,email,sale out,2021-09-10 08:00:46.586870+00:00,2021-09-10 08:00:55+00:00,1,,False,,114.0,False,False,True,False,False,False,,
1204,bulk,email,sale out,2021-10-05 07:00:14.643367+00:00,2021-10-05 08:09:33+00:00,1109457,,False,,110.0,False,False,True,False,False,False,,
1205,bulk,email,sale out,2021-09-15 08:00:13.960284+00:00,2021-09-15 08:13:26+00:00,211190,,False,,98.0,True,False,True,False,True,False,,
1212,bulk,email,sale out,2021-09-16 08:00:13.924658+00:00,2021-09-16 08:08:36+00:00,130386,,False,,114.0,False,False,True,False,False,True,,
1226,bulk,mobile_push,event,2021-10-05 10:45:09.530154+00:00,2021-10-05 10:45:16+00:00,1884,,False,,128.0,False,False,True,False,False,False,,
1227,bulk,mobile_push,sale out,2021-09-16 09:49:49.765428+00:00,2021-09-16 09:50:18+00:00,47593,,False,,90.0,True,False,True,False,True,False,,
1240,bulk,email,sale out,2021-09-17 07:00:15.237840+00:00,2021-09-17 07:22:52+00:00,302724,,False,,124.0,True,False,True,False,True,False,,
1247,bulk,mobile_push,sale out,2021-09-16 17:00:12.516070+00:00,2021-09-16 17:00:47+00:00,89124,,False,,28.0,False,False,True,False,False,True,,
1255,bulk,email,sale out,2021-09-16 13:54:05.680955+00:00,2021-09-16 13:54:15+00:00,2,,False,,124.0,True,False,True,False,True,False,,
1256,bulk,mobile_push,sale out,2021-09-17 12:00:13.020581+00:00,2021-09-17 12:01:22+00:00,181314,,False,,100.0,False,False,True,False,False,False,,
1294,bulk,email,sale out,2021-09-21 07:00:15.012909+00:00,2021-09-21 07:24:53+00:00,310123,,False,,118.0,False,False,True,False,False,False,,
1296,bulk,email,sale out,2021-09-20 11:37:32.408572+00:00,2021-09-20 11:37:44+00:00,3,,False,,118.0,False,False,True,False,False,False,,
1303,bulk,email,sale out,2021-09-21 08:47:19.870338+00:00,2021-09-21 08:47:28+00:00,5,,False,,110.0,False,False,True,False,False,False,,
1306,bulk,mobile_push,sale out,2021-09-21 14:00:14.137718+00:00,2021-09-21 14:01:08+00:00,162863,,False,,100.0,False,False,True,False,False,True,,
1318,bulk,email,sale out,2021-09-23 08:23:19.544712+00:00,2021-09-23 08:24:32+00:00,18491,True,False,,114.0,False,False,True,False,False,False,,
1319,bulk,email,,,,,True,False,,114.0,False,False,True,False,False,False,,
1330,bulk,email,sale out,2021-09-24 07:11:36.939943+00:00,2021-09-24 07:35:05+00:00,309902,,False,,126.0,True,False,True,False,True,False,,
1331,bulk,email,sale out,2021-09-23 09:18:26.605316+00:00,2021-09-23 09:18:34+00:00,5,,False,,126.0,True,False,True,False,True,False,,
1336,bulk,mobile_push,sale out,2021-09-24 12:00:13.408395+00:00,2021-09-24 12:00:58+00:00,155075,,False,,100.0,False,False,True,False,False,False,,
1358,bulk,email,sale out,2021-09-28 06:46:01.504609+00:00,2021-09-28 07:49:35+00:00,831162,,False,,110.0,False,False,True,False,False,False,,
1361,bulk,mobile_push,offer after purchase,2021-09-27 14:08:53.714962+00:00,2021-09-27 14:09:00+00:00,493,,False,,92.0,False,False,True,False,False,False,,
1362,bulk,mobile_push,offer after purchase,2021-09-27 14:11:16.862994+00:00,2021-09-27 14:11:22+00:00,480,,False,,92.0,False,False,True,False,False,False,,
1372,bulk,mobile_push,offer after purchase,2021-09-28 08:00:14.567937+00:00,2021-09-28 08:00:22+00:00,437,,False,,92.0,False,False,True,False,False,False,,
1376,bulk,mobile_push,sale out,2021-09-28 14:00:12.728872+00:00,2021-09-28 14:01:08+00:00,153282,,False,,98.0,False,False,True,False,False,False,,
1378,bulk,email,sale out,2021-09-29 07:00:14.611390+00:00,2021-09-29 07:37:44+00:00,534724,,False,,100.0,False,False,True,False,False,False,,
1382,bulk,mobile_push,offer after purchase,2021-09-29 08:00:14.974362+00:00,2021-09-29 08:00:25+00:00,405,,False,,92.0,False,False,True,False,False,False,,
1391,bulk,email,sale out,2021-09-30 07:14:59.715727+00:00,2021-09-30 07:19:52+00:00,49011,,False,,108.0,False,False,True,False,False,False,,
1408,bulk,mobile_push,offer after purchase,2021-09-30 08:21:30.013455+00:00,2021-09-30 08:21:37+00:00,358,,False,,92.0,False,False,True,False,False,False,,
1409,bulk,email,sale out,2021-10-01 08:57:52.652762+00:00,2021-10-01 10:03:17+00:00,619897,,False,,114.0,False,False,True,False,False,False,,
1410,bulk,mobile_push,sale out,2021-09-30 15:00:12.309956+00:00,2021-09-30 15:00:55+00:00,74717,,False,,17.0,False,False,True,False,False,False,,
1411,bulk,email,sale out,2021-09-30 10:12:19.696858+00:00,2021-09-30 10:12:30+00:00,5,,False,,114.0,False,False,True,False,False,False,,
1423,bulk,mobile_push,offer after purchase,2021-10-01 09:00:13.086916+00:00,2021-10-01 09:00:25+00:00,399,,False,,92.0,False,False,True,False,False,False,,
1425,bulk,mobile_push,sale out,2021-10-01 15:00:13.829300+00:00,2021-10-01 15:00:58+00:00,146693,,False,,100.0,False,False,True,False,False,False,,
1455,bulk,mobile_push,offer after purchase,2021-10-05 08:15:09.322583+00:00,2021-10-05 08:15:16+00:00,219,,False,,92.0,False,False,True,False,False,False,,
1457,bulk,email,sale out,2021-10-06 07:52:19.975376+00:00,2021-10-06 08:18:59+00:00,331902,,False,,98.0,False,False,True,False,False,False,,
1458,bulk,mobile_push,sale out,2021-10-05 15:00:13.806601+00:00,2021-10-05 15:01:10+00:00,177858,,False,,98.0,False,False,True,False,False,True,,
1460,bulk,mobile_push,offer after purchase,2021-10-06 08:00:14.856304+00:00,2021-10-06 08:00:30+00:00,383,,False,,92.0,False,False,True,False,False,False,,
1468,bulk,email,sale out,2021-10-07 08:00:14.324064+00:00,2021-10-07 09:37:38+00:00,1430852,True,False,,123.0,False,False,True,False,False,True,,
1469,bulk,email,,,,,True,False,,123.0,False,False,True,False,False,True,,
1476,bulk,mobile_push,sale out,2021-10-07 14:00:13.362877+00:00,2021-10-07 14:04:40+00:00,70955,,False,,28.0,False,False,True,False,False,False,,
